"","year","tmax","tmin","af","rain","sun","location"
"367",1985,5.9,0.4,15.3333333333333,50.6333333333333,50.1666666666667,"T03"
"368",1986,6.2,0.666666666666667,12.3333333333333,56.5,52.2,"T03"
"369",1987,7.26666666666667,0.833333333333333,11,55.6333333333333,48.1,"T03"
"370",1988,7.7,1.86666666666667,7.33333333333333,80.2333333333333,50.1,"T03"
"371",1989,9.53333333333333,3.96666666666667,1.66666666666667,53.9,60.4333333333333,"T03"
"372",1990,8.03333333333333,2.3,5,98.7666666666667,47.9666666666667,"T03"
"373",1991,6.6,0.533333333333333,12.3333333333333,64.8666666666667,54.6333333333333,"T03"
"374",1992,8.36666666666667,2.8,5.33333333333333,63.4666666666667,37.8333333333333,"T03"
"375",1993,8.1,2.66666666666667,5,57,35.2,"T03"
"376",1994,7.03333333333333,1.43333333333333,9,113.466666666667,45.2333333333333,"T03"
"377",1995,8.43333333333333,2.53333333333333,5.33333333333333,100.6,46.8,"T03"
"378",1996,6.9,1.63333333333333,11,60.9333333333333,55,"T03"
"379",1997,7.53333333333333,2.13333333333333,7.66666666666667,53.9,46.1,"T03"
"380",1998,9.26666666666667,3.86666666666667,4,70.9,50.7666666666667,"T03"
"381",1999,8.4,2.93333333333333,4.66666666666667,82.7,47.3666666666667,"T03"
"382",2000,8.23333333333333,2.33333333333333,5,87.3,53.3,"T03"
"383",2001,7.4,1.13333333333333,12.3333333333333,64.8,61.1,"T03"
"384",2002,9.06666666666667,2.5,7,77.5,71.1666666666667,"T03"
"385",2003,7.76666666666667,2,9.33333333333333,58.2,62.0333333333333,"T03"
"386",2004,8.46666666666667,2.03333333333333,9.66666666666667,53.3333333333333,67.6,"T03"
"387",2005,8.96666666666667,3.03333333333333,4.33333333333333,60.1,55.4,"T03"
"388",2006,8.4,2,8.66666666666667,42.5,52.7666666666667,"T03"
"389",2007,9.4,3.03333333333333,5.66666666666667,72.2333333333333,61.2333333333333,"T03"
"390",2008,9.53333333333333,2.6,5.66666666666667,82.5,58.9666666666667,"T03"
"391",2009,7.43333333333333,1.4,12.3333333333333,46.6,58.6333333333333,"T03"
"392",2010,5.63333333333333,-0.666666666666667,16.6666666666667,44.6,50.8333333333333,"T03"
"393",2011,6.56666666666667,0.0333333333333335,12,56.7666666666667,65.0333333333333,"T03"
"394",2012,8.8,3.63333333333333,3.66666666666667,60.7,35,"T03"
"395",2013,7.83333333333333,1.66666666666667,9.33333333333333,74.6666666666667,54.9333333333333,"T03"
"396",2014,8.6,2.9,1.66666666666667,105.433333333333,57.6333333333333,"T03"
"397",2015,7.76666666666667,0.5,12.6666666666667,79.1666666666667,60.8,"T03"
"398",2016,9.13333333333333,2.9,5.66666666666667,126.866666666667,51.4666666666667,"T03"
"399",2017,9.2,3.2,6,42.2,48.5666666666667,"T03"
"400",2018,7.36666666666667,1.56666666666667,8.66666666666667,89.0333333333333,59.8333333333333,"T03"
"401",2019,9.36666666666667,3.8,4,52.2333333333333,47.6666666666667,"T03"
"402",2020,8.56666666666667,3.06666666666667,2,86.9333333333333,59.4333333333333,"T03"
"403",2021,7.5,1.86666666666667,9.33333333333333,85.4,54.2666666666667,"T03"
"404",2022,8.7,3.83333333333333,1.33333333333333,88.9333333333333,45.2,"T03"
"405",1959,NA,NA,NA,NA,NA,"T04"
"406",1960,6.03333333333333,0.333333333333333,12.6666666666667,NA,48.9,"T04"
"407",1961,6.36666666666667,0.533333333333333,12,NA,57.5,"T04"
"408",1962,5.7,-0.833333333333333,13.3333333333333,99.2,63.7,"T04"
"409",1963,2.9,-3.76666666666667,24.6666666666667,34.0666666666667,75.0666666666667,"T04"
"410",1964,5.8,0.233333333333333,12.3333333333333,26.8333333333333,55.8666666666667,"T04"
"411",1965,5.16666666666667,-0.433333333333333,14.3333333333333,94.4666666666667,45.8,"T04"
"412",1966,5.3,0.333333333333333,11.6666666666667,76.0666666666667,31.6,"T04"
"413",1967,6.4,1.4,7.33333333333333,96.4333333333333,55.5666666666667,"T04"
"414",1968,5.4,-0.266666666666667,16,55.1333333333333,59.1333333333333,"T04"
"415",1969,4.26666666666667,-0.933333333333333,14.6666666666667,60.3666666666667,42.3,"T04"
"416",1970,4.76666666666667,-1.23333333333333,15.3333333333333,80.0333333333333,49.4666666666667,"T04"
